DATE,ITEM NO.,KT,GROSS WT,NET WT.
24/01/2024,2308014ER,18,42.270,31.862
04/01/2024,2308017ER,14,26.234,15.380
06/01/2024,2308020ER,14,26.842,15.737
06/01/2024,2308038NK,18,142.358,107.305
08/01/2024,2308039ER,18,55.406,41.763
11/01/2024,2308044/45N/E,18,67.104,50.581
31/01/2024,2309030ER,18,15.518,11.697
08/01/2024,2310002NK,18,62.786,47.326
06/01/2024,2310036/37N/E,14,96.020,56.293
11/12/2023,2311020BG,18,30.834,23.242
11/12/2023,2311021BG,18,21.540,16.236
18/12/2023,2311022NK,18,73.362,55.298
08/01/2024,2311023ER,18,6.778,5.109
09/01/2024,2311024BC,18,16.060,12.106
06/01/2024,2311025BC,18,14.248,10.740
15/01/2024,2312001ER,14,53.932,31.618
13/01/2024,2312003NK,18,72.126,54.366
09/01/2024,2312012RN,18,2.776,2.092
17/01/2024,2312014BG,18,24.302,18.318
31/01/2024,2312022ER,14,57.912,33.952
20/01/2024,2401001BC,18,43.482,32.775
20/01/2024,2401003ER,18,8.526,6.427
20/01/2024,2401004ER,18,29.696,22.384
20/01/2024,2401005BG,18,18.484,13.933
20/01/2024,2401007ER,18,26.174,19.729
20/01/2024,2401008ER,18,28.960,21.829
12/01/2024,2401010RN,18,2.722,2.052
12/01/2024,2401014RN,18,2.786,2.100
20/01/2024,2401015ER,18,6.740,5.080
12/01/2024,2401016PN,14,3.020,1.771
20/01/2024,2401017ER,18,11.896,8.967
31/01/2024,2401018TK,18,11.114,8.377
18/01/2024,2401019ER,18,31.960,24.090
15/01/2024,2401020PN,18,8.278,6.240
16/01/2024,2401024RN,18,8.422,6.348
24/01/2024,2401026ER,18,8.502,6.409
25/01/2024,2401045BG,18,20.276,15.283
27/02/2024,2308021ER,14,19.88,18.392
02/02/2024,2309029ER,18,48.85,45.836
06/02/2024,2309031ER,18,49.78,47.496
02/02/2024,2309032ER,18,33.4,32.634
16/02/2024,2309033ER,18,47.27,43.070
16/02/2024,2312002NK,18,90,67.698
14/02/2024,2312015BC,18,54.93,38.710
07/02/2024,2312023ER,14,34.61,28.17
03/02/2024,2312025BC,18,22.04,18.510
02/02/2024,2401023RN,18,3.91,3.820
20/02/2024,2401025RN,18,3.28,3.058
20/02/2024,2401029ER,18,24.08,22.848
17/02/2024,2401030ER,18,10.23,9.726
06/02/2024,2401032BC,18,7.3,7.102
07/02/2024,2401033BC,18,6.45,6.236
10/02/2024,2401035BC,18,7.4,7.226
10/02/2024,2401036BC,18,8.27,8.134
16/02/2024,2401037ER,18,19.07,18.406
19/02/2024,2401038ER,18,13.96,11.608
05/03/2024,2401039BC,18,14.15,12.630
27/02/2024,2401040BC,18,10.27,9.928
27/02/2024,2401041RN,18,7.64,7.504
05/02/2024,2401042ER,18,12.93,9.518
07/02/2024,2401044RN,14,15.15,14.946
09/02/2024,2401046BC,18,20.35,16.560
05/03/2024,2401050RN,18,7.28,5.294
06/02/2024,2401051RN,18,2.6,2.254
12/02/2024,2402006ER,18,3.78,3.622
27/02/2024,2402011ER,18,5.16,4.944
27/02/2024,2402012BR,18,30.35,21.788
20/02/2024,2402013RN,18,7.09,5.186
28/02/2024,2402014BC,18,49.14,46.218
27/02/2024,2402015RN,18,14.73,13.828
07/03/2024,2402017CF,18,8.85,8.820
07/03/2024,2402018CF,18,9.06,9.030
04/03/2024,2402019ER,18,6.88,6.760
28/02/2024,2402020ER,18,3.8,3.650
08/03/2024,2402021BC,14,7.27,4.218
01/03/2024,2402022RN,14,15.03,14.856
11/03/2024,2403006ER,18,7.2,7.110
12/03/2024,2403007RN,14,15.22,15.036
12/03/2024,2403008BC,18,6.3,6.054
12/03/2024,2403009BC,18,6.99,6.800
12/03/2024,2403010BC,18,5.84,5.740
12/03/2024,2403011BC,18,5.79,5.692
28/03/2024,2312019ER,14,40.58,39.336
28/03/2024,2312024ER,14,32.49,28.058
28/03/2024,2401009ER,18,36.61,29.592
13/03/2024,2402016BG,18,47.18,46.438
28/03/2024,2402031ER,14,43.28,41.672
22/03/2024,2403005BG,18,43.25,38.810
29/03/2024,2403019ER,14,40.75,37.42
28/03/2024,2403020ER,18,25.55,23.382
02/04/2024,2312017ER,14,39.2,36.618
02/04/2024,2402029ER,14,30.76,28.480
02/04/2024,2403021ER,18,17.07,13.502
06/04/2024,2312011BC,18,70.45,50.062
06/04/2024,2402024ER,14,48.46,46.520
06/04/2024,2402026ER,14,26.97,22.608
08/04/2024,2403022RN,18,5.06,4.660
11/04/2024,2312016ER,14,27.72,26.622
12/04/2024,2401049BC,18,6.23,5.770
13/04/2024,2402023ER,14,47.2,44.746
12/04/2024,2402025ER,14,30.12,23.378
06/04/2024,2403017RN,18,10.51,8.586
06/04/2024,2403018RN,18,10.56,8.782
15/04/2024,2404010BC,18,31.75,30.530
18/04/2024,2404001BG,14,14.23,11.958
24/04/2024,2404004BC,18,69,56.950
17/04/2024,2404008RN,18,2.85,2.632
27/04/2024,2312028BC,18,56.16,46.756
27/04/2024,2404005BC,18,70.04,57.790
24/04/2024,2404006BC,18,57.42,52.976
25/04/2024,2404031NK,18,23.92,12.590
02/05/2024,2404007BC,18,57.67,53.236
02/05/2024,2404007BC,18,57.67,53.236
07/05/2024,2404012RN,18,4.23,3.774
07/05/2024,2404013RN,18,8.14,8.080
08/05/2024,2404018PN,18,12.65,4.886
13/05/2024,2404002BG,18,22.9,20.028
21/05/2024,2404019RN,18,8.62,8.428
16/05/2024,2404020RN,18,3.06,2.546
16/05/2024,2404034ER,18,5.19,5.106
17/05/2024,2404036RN,18,7.23,7.118
22/05/2024,2405007ER,18,3.69,3.52
23/05/2024,2405010RN,18,14.39,13.342
30/05/2024,2312013RN,18,20.09,18.226
29/05/2024,2403016BC,18,58.68,44.67
29/05/2024,2404011ER,18,15.97,13.444
29/05/2024,2404032ER,18,39.78,34.524
28/05/2024,2405013ER,18,7.32,7.228
04/06/2024,2404037ER,18,27.51,23.760
31/05/2024,2405012RN,18,5.55,5.346
13/06/2024,2403014ER,18,12.31,10.252
06/06/2024,2403015ER,18,25.71,15.690
12/06/2024,2405008ER,18,15.53,13.468
05/06/2024,2405022ER,14,5.42,5.038
13/06/2024,2405024RN,18,10.41,9.814
05/06/2024,2405039RN,18,7.3,7.164
18/06/2024,2405025ER,18,4.95,3.990
18/06/2024,2406105ER,18,6.25,4.228
18/06/2024,2404035ER,18,16.1,14.152
18/06/2024,2404017ER,14,36.97,33.872
18/06/2024,2406110RN,18,2.33,1.966
26/06/2024,2405038ER,18,6.57,5.732
04/07/2024,2404016NK,18,35.88,28.940
16/07/2024,2401043ER,18,25.84,19.274
10/07/2024,2405016BC,14,7.54,6.734
09/07/2024,2405017BC,14,4.96,4.622
09/07/2024,2406048PN,14,1.07,0.910
09/07/2024,2406049ER,14,3.05,2.812
10/07/2024,2406068NK,14,6.64,6.130
10/07/2024,2406069ER,14,5.19,4.874
10/07/2024,2406072PN,14,10,7.378
10/07/2024,2406073ER,14,8.32,5.782
10/07/2024,2406076PN,14,1.99,1.776
10/07/2024,2406077ER,14,2.62,2.432
10/07/2024,2406078PN,14,3.01,2.704
10/07/2024,2406079ER,14,2.86,2.72
10/07/2024,2406084PN,14,1.55,1.356
10/07/2024,2406085ER,14,2.51,2.358
04/07/2024,2404016NK,18,35.88,28.940
18/06/2024,2404017ER,14,36.97,33.872
18/06/2024,2404035ER,18,16.1,14.152
19/07/2024,2404038BC,18,42.94,42.520
18/07/2024,2405019ER,14,4.82,4.182
18/06/2024,2405025ER,18,4.95,3.990
17/07/2024,2405027NK,14,5.69,5.192
17/07/2024,2405031NK,14,11.16,9.790
26/06/2024,2405038ER,18,6.57,5.732
17/07/2024,2406004ER,14,6.43,5.788
17/07/2024,2406006ER,14,5.93,5.482
18/07/2024,2406016PN,14,3.01,2.726
18/07/2024,2406017ER,14,4.01,3.644
18/07/2024,2406020PN,14,2.5,2.236
18/07/2024,2406021ER,14,3.33,3.206
18/07/2024,2406022PN,14,6.09,5.666
18/07/2024,2406023ER,14,4.3,3.974
18/07/2024,2406034PN,14,5.75,5.524
18/07/2024,2406035ER,14,3.27,3.108
17/07/2024,2406042PN,14,1.09,0.882
17/07/2024,2406043ER,14,2.55,2.292
17/07/2024,2406046PN,14,5.12,4.862
17/07/2024,2406047ER,14,3.47,3.266
17/07/2024,2406054PN,14,4.92,4.686
17/07/2024,2406055ER,14,2.68,2.500
22/07/2024,2406058PN,14,5.04,4.852
22/07/2024,2406059ER,14,3.92,3.768
18/07/2024,2406062PN,14,5.68,5.078
18/07/2024,2406063ER,14,3.62,3.248
18/07/2024,2406064PN,14,4.66,4.448
18/07/2024,2406065ER,14,2.95,2.688
17/07/2024,2406066PN,14,5.04,4.828
17/07/2024,2406067ER,14,3.58,3.280
18/07/2024,2406070PN,14,7.08,6.720
18/07/2024,2406071ER,14,4.98,4.600
18/07/2024,2406080PN,14,3.13,2.868
18/07/2024,2406081ER,14,4.01,3.852
10/07/2024,2406084PN,14,4.49,4.296
17/07/2024,2406086PN,14,5.34,5.196
17/07/2024,2406087ER,14,2.7,2.568
17/07/2024,2406092PN,14,5.16,4.914
17/07/2024,2406093ER,14,3.63,3.438
18/06/2024,2406105ER,18,6.25,4.228
18/06/2024,2406110RN,18,2.33,1.966
25/07/2024,2405009RN,18,21.71,20.020
23/07/2024,2405035NK,14,7.18,6.902
27/07/2024,2405036NK,14,8.27,7.016
08/08/2024,2405042ER,18,29.87,21.716
23/07/2024,2406010ER,14,3.12,2.976
27/07/2024,2406011ER,14,6.1,4.874
